UA4000194377,,194377,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"3,579,145",6/14/2016,"1 000,00 (UAH)",6/15/2016,TRUE,??????,FALSE,06/02/2021,
UA4000194468,,194468,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"1,510,000",6/21/2016,"1 000,00 (UAH)",6/22/2016,TRUE,??????,FALSE,6/16/2021,
UA4000194567,,194567,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"104,850",07/05/2016,"1 000,00 (UAH)",07/06/2016,TRUE,??????,FALSE,6/30/2021,
UA4000061808,,61808,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,400,000",11/20/2009,"1 000,00 (UAH)",7/13/2016,TRUE,??????,FALSE,02/06/2019,
UA4000179766,,179766,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"1,500,000",2/27/2014,"1 000,00 (UAH)",7/13/2016,TRUE,??????,FALSE,2/13/2019,
UA4000063010,,63010,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"950,000",12/30/2009,"1 000,00 (UAH)",7/18/2016,TRUE,??????,FALSE,03/11/2020,
UA4000194658,,194658,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"887,480",7/19/2016,"1 000,00 (UAH)",7/20/2016,TRUE,??????,FALSE,07/10/2019,
UA4000195028,,195028,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"797,900",8/16/2016,"1 000,00 (UAH)",8/17/2016,TRUE,??????,FALSE,8/14/2019,
UA4000195044,,195044,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,"1,000,000",8/17/2016,"1 000,00 (UAH)",8/22/2016,TRUE,??????,FALSE,08/02/2023,
UA4000195150,,195150,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,"2,700,000",8/23/2016,"1 000,00 (UAH)",8/25/2016,TRUE,??????,FALSE,7/26/2023,
UA4000195176,,195176,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"40,000",8/30/2016,"1 000,00 (UAH)",8/31/2016,TRUE,??????,FALSE,08/11/2021,
UA4000195507,,195507,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,"5,000,000",9/28/2016,"1 000,00 (UAH)",9/28/2016,TRUE,??????,FALSE,9/20/2023,
UA4000195580,,195580,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"421,326",10/18/2016,"1 000,00 (UAH)",10/19/2016,TRUE,??????,FALSE,09/04/2019,
UA4000196562,,196562,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,863,000",01/10/2017,"1 000,00 (UAH)",01/11/2017,TRUE,??????,FALSE,01/02/2019,
UA4000196620,,196620,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,667,870",1/24/2017,"1 000,00 (UAH)",1/25/2017,TRUE,??????,FALSE,1/15/2020,
UA4000197040,,197040,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"4,178,870",3/15/2017,"1 000,00 (UAH)",3/15/2017,TRUE,??????,FALSE,3/15/2020,
UA4000197081,,197081,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"3,409,687",3/21/2017,"1 000,00 (UAH)",3/22/2017,TRUE,??????,FALSE,03/06/2019,
UA4000197396,,197396,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"234,375",5/16/2017,"1 000,00 (USD)",5/17/2017,TRUE,??????,FALSE,5/13/2020,
UA4000196521,,196521,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"3,941,000",12/29/2016,"1 000,00 (UAH)",6/14/2017,TRUE,??????,FALSE,12/10/2031,
UA4000198006,,198006,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"3,555,712",6/14/2017,"1 000,00 (UAH)",6/14/2017,TRUE,??????,FALSE,06/10/2020,
UA4000198469,,198469,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"507,564",7/25/2017,"1 000,00 (USD)",7/26/2017,TRUE,??????,FALSE,07/10/2019,
UA4000198873,,198873,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,232,600",09/05/2017,"1 000,00 (UAH)",09/06/2017,TRUE,??????,FALSE,08/06/2020,
UA4000199210,,199210,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,945,567",10/17/2017,"1 000,00 (UAH)",10/18/2017,TRUE,??????,FALSE,10/12/2022,
UA4000199244,,199244,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"294,730",10/25/2017,"1 000,00 (USD)",10/25/2017,TRUE,??????,FALSE,10/23/2019,
UA4000188213,,188213,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,899,710",12/05/2014,"1 000,00 (UAH)",11/20/2017,TRUE,??????,FALSE,9/19/2024,
UA4000188221,,188221,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,899,710",12/05/2014,"1 000,00 (UAH)",11/20/2017,TRUE,??????,FALSE,10/23/2024,
