UA4000185789,,185789,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,24.04.2024
UA4000185821,,185821,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,19.01.2022
UA4000190334,,190334,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 500 000,30.06.2015,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,03.06.2026
UA4000185920,,185920,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 000 000,12.08.2014,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,27.03.2024
UA4000185839,,185839,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,29.06.2022
UA4000185847,,185847,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,13.07.2022
UA4000185854,,185854,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,27.07.2022
UA4000185870,,185870,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,21.01.2023
UA4000185888,,185888,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,26.04.2023
UA4000189799,,189799,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 800 000,28.04.2015,"1 000,00 (UAH)",01.07.2015,VRAI,??????,FAUX,10.12.2025
UA4000142137,,142137,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 999 550,14.06.2012,"1 000,00 (UAH)",07.07.2015,VRAI,??????,FAUX,22.05.2019
UA4000186803,,186803,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,930 000,24.09.2014,"1 000,00 (UAH)",07.07.2015,VRAI,??????,FAUX,11.09.2024
UA4000190383,,190383,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,500 000,07.07.2015,"1 000,00 (UAH)",07.07.2015,VRAI,??????,FAUX,06.05.2026
UA4000179741,,179741,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,1 500 000,26.02.2014,"1 000,00 (UAH)",14.07.2015,VRAI,??????,FAUX,20.02.2019
UA4000188593,,188593,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,30.12.2014,"1 000,00 (UAH)",14.07.2015,VRAI,??????,FAUX,11.12.2024
UA4000189138,,189138,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,2 200 000,13.02.2015,"1 000,00 (UAH)",14.07.2015,VRAI,??????,FAUX,29.01.2020
UA4000190441,,190441,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 000 000,14.07.2015,"1 000,00 (UAH)",14.07.2015,VRAI,??????,FAUX,14.10.2026
UA4000179691,,179691,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,600 000,18.02.2014,"1 000,00 (UAH)",20.07.2015,VRAI,??????,FAUX,13.02.2019
UA4000186258,,186258,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,04.09.2014,"1 000,00 (UAH)",21.07.2015,VRAI,??????,FAUX,18.08.2021
UA4000189146,,189146,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,2 200 000,13.02.2015,"1 000,00 (UAH)",21.07.2015,VRAI,??????,FAUX,05.02.2020
UA4000129241,,129241,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 000 000,10.10.2011,"1 000,00 (UAH)",27.07.2015,VRAI,??????,FAUX,15.09.2021
UA4000165773,,165773,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,30 657,23.04.2013,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,08.04.2020
UA4000171094,,171094,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 403 338,16.07.2013,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,08.08.2020
UA4000173371,,173371,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,330 000,03.09.2013,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,23.08.2023
UA4000179196,,179196,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 626 723,29.01.2014,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,23.01.2019
UA4000189591,,189591,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,3 203 998,01.04.2015,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,19.03.2025
UA4000189963,,189963,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 200 000,26.05.2015,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,08.10.2025
UA4000190573,,190573,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 200 000,28.07.2015,"1 000,00 (UAH)",28.07.2015,VRAI,??????,FAUX,25.11.2026
UA4000190870,,190870,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,500 000,04.08.2015,"1 000,00 (UAH)",04.08.2015,VRAI,??????,FAUX,24.06.2026
UA4000190961,,190961,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,800 000,11.08.2015,"1 000,00 (UAH)",11.08.2015,VRAI,??????,FAUX,06.01.2027
UA4000191019,,191019,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 200 000,18.08.2015,"1 000,00 (UAH)",18.08.2015,VRAI,??????,FAUX,09.12.2026
UA4000191399,,191399,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,29.09.2015,"1 000,00 (UAH)",29.09.2015,VRAI,??????,FAUX,02.02.2028
UA4000191407,,191407,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,29.09.2015,"1 000,00 (UAH)",29.09.2015,VRAI,??????,FAUX,01.03.2028
