"Nom";"ISIN";"Symbole";"Place";"Maturité";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Bonds";"";;;;;;;;;;;;
"09 Avr 2019";;;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;;
"CTBELGZC12SEP19D";"BE0312766380";;"Euronext Brussels";"2019-09-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CTBELGZC16JAN20D";"BE0312768402";;"Euronext Brussels";"2020-01-16";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CTBELGZC7NOV19D";"BE0312767396";;"Euronext Brussels";"2019-11-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CTE0,875%29JUN24";"FR0013264405";"CTEAA";"Euronext Paris";"2024-09-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CTE1,5%29JUL28";"FR0013264421";"CTEAB";"Euronext Paris";"2028-07-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CTE2,125%29JUL32";"FR0013264439";"CTEAC";"Euronext Paris";"2032-07-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CUSTRASB2.70%JUL30";"FR0012045557";"CUSAC";"Euronext Paris";"2030-07-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CUSTRASB2.81%JUL34";"FR0012046845";"CUSAB";"Euronext Paris";"2034-07-24";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CUSTRASB3.5%JUL33";"FR0011528868";"CUSAA";"Euronext Paris";"2033-07-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CYBERG3.32%18OCT20";"FR0010945725";"CYBO";"Euronext Growth Paris";"2020-10-18";"%";"56.05";"56.05";"56.00";"56.00";"05/04/2019 10:09";"CET";"28800";"1613150.00"
"DAN1.375%10JUN2019";"FR0011513340";"BNAD";"Euronext Paris";"2019-06-10";"%";"100.31";"100.31";"100.31";"100.31";"20/03/2019 13:41";"CET";"100000";"100310.00"
"DAN3.60%23OCT2020";"FR0010967216";"BNAAA";"Euronext Paris";"2020-11-23";"%";"100.10";"100.10";"100.10";"100.10";"01/07/2011 12:19";"CET";"1";"51159.50"
"DANON0,167%NOV2020";"FR0013216892";"BNAN";"Euronext Paris";"2020-11-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANON0,424%NOV2022";"FR0013216900";"BNAO";"Euronext Paris";"2022-11-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANON0,709%NOV2024";"FR0013216918";"BNAP";"Euronext Paris";"2024-11-03";"%";"99.48";"99.48";"99.48";"99.48";"06/03/2018 09:33";"CET";"1000000";"994800.00"
"DANON1,208%NOV2028";"FR0013216926";"BNAQ";"Euronext Paris";"2028-11-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANON1.125%14JAN25";"FR0012432912";"BNAJ";"Euronext Paris";"2025-01-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANON1.250%30MAY24";"FR0013063609";"BNAL";"Euronext Paris";"2024-05-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANONE1%26MAR25";"FR0013325172";"BNAS";"Euronext Paris";"2025-03-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANONE1.75%PRPTUAL";"FR0013292828";"BNAR";"Euronext Paris";;"%";"97.75";"97.75";"97.75";"97.75";"11/07/2018 15:23";"CET";"100000";"97750.00"
